date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:59:48	65452/65452	---M--	200	added ('OK')	application/octet-stream	etag:%22582abc7b-ffac%22	http://xgio.net/winters/css/fonts/fontawesome-webfont.woff?v=4.2.0	yes/http://xgio.net/winters/xgio.net/winters/css/fonts/fontawesome-webfont78ce.woff	(from http://xgio.net/winters/css/lib/font-awesome.min.css)
16:59:51	24771/24771	---M--	200	added ('OK')	image/jpeg	etag:%22582abdca-60c3%22	http://xgio.net/winters/images/blog/grid/2.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/blog/grid/2.jpg	(from http://xgio.net/winters/grid.html)
16:59:53	45905/45905	---M--	200	added ('OK')	image/jpeg	etag:%22582abdc9-b351%22	http://xgio.net/winters/images/blog/grid/1.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/blog/grid/1.jpg	(from http://xgio.net/winters/grid.html)
16:59:53	32089/32089	---M--	200	added ('OK')	image/jpeg	etag:%22582abdcb-7d59%22	http://xgio.net/winters/images/blog/grid/3.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/blog/grid/3.jpg	(from http://xgio.net/winters/grid.html)
16:59:56	17806/17806	---M--	200	added ('OK')	image/jpeg	etag:%22582abdce-458e%22	http://xgio.net/winters/images/blog/list/1.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/blog/list/1.jpg	(from http://xgio.net/winters/list.html)
16:59:57	22860/22860	---M--	200	added ('OK')	image/jpeg	etag:%22582abdce-594c%22	http://xgio.net/winters/images/blog/list/2.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/blog/list/2.jpg	(from http://xgio.net/winters/list.html)
16:59:58	40983/40983	---M--	200	added ('OK')	image/jpeg	etag:%22582abdcc-a017%22	http://xgio.net/winters/images/blog/grid/4.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/blog/grid/4.jpg	(from http://xgio.net/winters/grid.html)
16:59:58	112160/112160	---M--	200	added ('OK')	application/octet-stream	etag:%22582abc79-1b620%22	http://xgio.net/winters/css/fonts/fontawesome-webfont.ttf?v=4.2.0	yes/http://xgio.net/winters/xgio.net/winters/css/fonts/fontawesome-webfont78ce.ttf	(from http://xgio.net/winters/css/lib/font-awesome.min.css)
17:00:01	23900/23900	---M--	200	added ('OK')	image/jpeg	etag:%22582abdd0-5d5c%22	http://xgio.net/winters/images/blog/list/4.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/blog/list/4.jpg	(from http://xgio.net/winters/list.html)
17:00:04	33606/33606	---M--	200	added ('OK')	image/jpeg	etag:%22582abdd3-8346%22	http://xgio.net/winters/images/blog/list/6.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/blog/list/6.jpg	(from http://xgio.net/winters/list.html)
17:00:04	19265/19265	---M--	200	added ('OK')	image/jpeg	etag:%22582abdd4-4b41%22	http://xgio.net/winters/images/blog/list/7.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/blog/list/7.jpg	(from http://xgio.net/winters/list.html)
17:00:05	41772/41772	---M--	200	added ('OK')	image/jpeg	etag:%22582abdd2-a32c%22	http://xgio.net/winters/images/blog/list/5.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/blog/list/5.jpg	(from http://xgio.net/winters/list.html)
17:00:06	63968/63968	---M--	200	added ('OK')	image/jpeg	etag:%22582abdd0-f9e0%22	http://xgio.net/winters/images/blog/list/3.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/blog/list/3.jpg	(from http://xgio.net/winters/list.html)
17:00:07	18650/18650	---M--	200	added ('OK')	image/jpeg	etag:%22582abdd4-48da%22	http://xgio.net/winters/images/blog/list/8.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/blog/list/8.jpg	(from http://xgio.net/winters/list.html)
17:00:08	5394/5394	---M--	200	added ('OK')	image/jpeg	etag:%22582abc8c-1512%22	http://xgio.net/winters/images/blog/12.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/blog/12.jpg	(from http://xgio.net/winters/single.html)
17:00:08	1055/1055	---M--	200	added ('OK')	image/png	etag:%22582ab7b3-41f%22	http://xgio.net/winters/images/captcha-demo.png	yes/http://xgio.net/winters/xgio.net/winters/images/captcha-demo.png	(from http://xgio.net/winters/contact.html)
17:00:08	24797/24797	---M--	200	added ('OK')	image/png	etag:%22582ab7b6-60dd%22	http://xgio.net/winters/images/signature.png	yes/http://xgio.net/winters/xgio.net/winters/images/signature.png	(from http://xgio.net/winters/about.html)
17:00:09	25/25	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Apr%202018%2010:00:09%20GMT	http://xgio.net/winters/HEAD	yes/http://xgio.net/winters/xgio.net/winters/HEAD	(from http://xgio.net/winters/js/lib/retina.min.js)
17:00:13	78094/78094	---M--	200	added ('OK')	image/jpeg	etag:%22582ab7af-1310e%22	http://xgio.net/winters/images/1.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/1.jpg	(from http://xgio.net/winters/about.html)
17:00:15	126242/126242	---M--	200	added ('OK')	image/jpeg	etag:%22582abc8a-1ed22%22	http://xgio.net/winters/images/blog/1.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/blog/1.jpg	(from http://xgio.net/winters/single.html)
